Tamano;Tiempo binaria;comparacionesBinaria;Tiempo Secuencial;comparacionesSecuencial
10;1877;3;1253;9
10;665;4;400;10
10;413;1;433;4
10;443;3;203;1
10;425;3;329;6
10;450;3;381;10
10;407;3;337;10
10;355;3;357;9
10;535;3;325;3
10;500;4;336;10
10;455;3;321;10
10;376;2;253;2
10;385;2;240;2
10;305;2;230;2
10;331;2;322;8
10;445;4;401;10
10;283;2;384;8
10;415;2;448;8
10;628;4;401;10
10;320;2;352;7
10;217;1;1320;3
10;432;4;383;10
10;472;4;311;10
10;395;3;287;3
10;263;1;329;5
10;638;3;481;9
10;457;3;319;6
10;626;4;531;10
10;476;4;320;10
10;406;3;268;6
100;981;6;2175;100
100;1167;7;2666;100
100;1348;6;2562;100
100;1074;5;1365;46
100;1194;6;2482;100
100;1302;6;2477;100
100;912;7;1796;70
100;873;4;1023;41
100;877;7;928;30
100;731;5;1751;71
100;858;7;595;14
100;603;4;1600;67
100;968;7;3835;100
100;945;6;2068;69
100;1022;6;617;10
100;928;7;2042;85
100;586;4;1349;81
100;503;5;1009;58
100;209;1;881;49
100;502;7;1301;80
100;451;6;1497;99
100;576;7;1502;100
100;502;7;2406413;64
100;806;6;731;29
100;710;7;383;11
100;636;7;1691;100
100;454;5;1607;97
100;919;7;2267;100
100;611;6;1362;82
100;311;1;915;50
1000;1719;10;15764;1000
1000;1003;10;11026;764
1000;1700;10;15983;1000
1000;1084;7;6651;397
1000;1002;10;15485;1000
1000;885;8;5882;377
1000;941;9;7997;482
1000;749;9;2069;126
1000;714;9;5555;369
1000;749;10;15224;1000
1000;698;10;14823;1000
1000;863;10;15026;1000
1000;1462;10;18351;1000
1000;832;6;14310;826
1000;807;10;16589;1000
1000;958;9;17206;887
1000;733;7;3620;242
1000;576;8;2731;175
1000;717;10;14637;1000
1000;979;6;11118;702
1000;910;8;8665;597
1000;741;10;14993;1000
1000;1152;10;12337;655
1000;1015;9;5755;388
1000;975;9;11913;744
1000;811;8;6007;401
1000;862;9;3709;208
1000;582;10;6878;463
1000;674;8;7077;456
1000;630;10;11806;832
10000;1687;10;95520;6607
10000;1228;9;109903;7713
10000;2516;13;85036;6113
10000;6422;13;139770;10000
10000;1079;7;43019;3202
10000;1055;13;217699;10000
10000;2159;14;49487;10000
10000;2450;11;8495;414
10000;2680;13;49999;10000
10000;6275;13;66621;10000
10000;4616;13;13602;10000
10000;1730;14;8112;10000
10000;2366;12;441;2111
10000;2143;13;760;3374
10000;1412;13;1945;10000
10000;933;13;1902;10000
10000;878;13;1832;10000
10000;997;13;1811;9619
10000;806;13;1907;10000
10000;1096;13;1818;10000
10000;773;13;1415;7397
10000;781;13;1814;10000
10000;4433;13;2051;10000
10000;1214;12;1629;8555
10000;1058;14;1914;10000
10000;1103;13;1903;10000
10000;867;13;1813;10000
10000;965;13;1805;10000
10000;816;14;503;2479
10000;1491;13;1902;10000
100000;4813;16;5175;24093
100000;4661;15;23629;67640
100000;4099;15;1621;6685
100000;4084;17;28763;100000
100000;3948;14;5693;26820
100000;4470;16;1716;6878
100000;4528;16;4853;21830
100000;4455;17;11819;61511
100000;4250;17;19305;100000
100000;4070;16;11096;54913
100000;4059;17;6209;30025
100000;3750;13;17236;88170
100000;4211;16;16715;86044
100000;4082;16;18677;100000
100000;4772;17;20333;100000
100000;4545;16;13610;70227
100000;4282;16;16443;84247
100000;4258;17;5884;27644
100000;4679;16;19768;100000
100000;4223;14;15004;74137
100000;4590;14;14833;73857
100000;3412;15;10791;51991
100000;3776;17;19694;100000
100000;4836;15;15672;80751
100000;3405;12;15034;76390
100000;5554;13;22086;84459
100000;4023;17;11723;58087
100000;4455;15;10080;52479
100000;4651;17;19530;100000
100000;4333;17;18848;100000
