Tamano;Tiempo binaria;comparacionesBinaria;Tiempo Secuencial;comparacionesSecuencial
10;2473;4;1294;7
10;434;2;374;8
10;400;3;317;9
10;437;3;382;10
10;288;3;310;10
10;224;2;274;8
10;340;4;303;10
10;280;2;416;8
10;244;3;290;9
10;158;1;185;3
10;288;3;233;6
10;359;4;325;10
10;158;1;204;5
10;318;4;284;10
10;239;3;237;6
10;275;3;223;6
10;152;1;219;5
10;203;2;239;8
10;277;4;293;10
10;233;3;245;9
10;213;3;281;10
10;233;4;276;10
10;215;4;276;10
10;247;4;282;10
10;184;2;233;8
10;206;3;148;1
10;139;1;191;4
10;338;4;286;10
10;282;4;272;10
10;179;3;270;10
100;523;7;1579;100
100;291;3;1441;88
100;299;4;1132;68
100;368;5;542;26
100;387;6;1309;82
100;323;6;1571;100
100;297;4;1278;81
100;286;5;651;39
100;432;6;1527;99
100;358;5;1195;76
100;386;7;2578;100
100;484;7;1545;100
100;388;6;232;7
100;368;7;135;2
100;355;7;1529;100
100;319;7;1514;100
100;355;6;514;29
100;255;5;154;3
100;384;7;1527;100
100;153;1;820;49
100;258;4;546;31
100;351;6;1534;100
100;243;4;1054;67
100;412;7;1606;100
100;429;7;1578;100
100;315;5;417;21
100;553;6;2144;100
100;441;7;1515;100
100;524;7;1518;100
100;430;7;813;49
1000;1034;9;16242;1000
1000;1177;8;15649;948
1000;759;10;15275;1000
1000;961;10;15105;1000
1000;916;10;6976;471
1000;1359;10;7810;432
1000;806;10;14630;1000
1000;1131;7;13430;834
1000;844;10;15227;1000
1000;803;10;14455;964
1000;774;10;14750;1000
1000;564;10;4085;285
1000;524;10;15136;1000
1000;576;8;13703;934
1000;1080;10;331;8
1000;663;6;9641;577
1000;460;7;2911;194
1000;544;10;14566;1000
1000;651;10;14922;1000
1000;628;10;1584;104
1000;569;10;14719;1000
1000;515;10;14729;1000
1000;591;10;14746;1000
1000;347;5;11503;781
1000;609;10;24132;1000
1000;372;5;549;31
1000;609;10;15558;1000
1000;890;10;16154;1000
1000;694;10;15710;1000
1000;566;7;5649;382
10000;2349;13;160611;10000
10000;1868;11;11389;610
10000;1761;12;55413;4146
10000;6897;12;41413;2775
10000;1717;12;51518;3844
10000;2237;11;106659;7690
10000;2840;13;155063;10000
10000;2364;14;49924;10000
10000;2694;14;54294;10000
10000;13337;6;58618;8906
10000;3246;11;11087;2729
10000;1023;12;5170;6984
10000;629;9;1603;8651
10000;745;10;1476;8035
10000;867;13;1919;10000
10000;640;13;1898;10000
10000;725;13;1947;10000
10000;1077;13;2506;10000
10000;1036;13;2503;10000
10000;757;12;1359;5245
10000;725;12;1323;5157
10000;766;12;898;3297
10000;802;13;2493;10000
10000;935;14;420;1453
10000;797;11;843;3090
10000;1036;13;1207;4626
10000;1138;13;2486;10000
10000;724;11;2082;8285
10000;1012;12;1973;7848
10000;926;14;2516;10000
100000;4275;16;12754;65741
100000;4946;13;17521;88439
100000;4746;16;16022;86059
100000;4585;17;18717;100000
100000;4067;16;13918;71094
100000;4763;17;5314;23493
100000;4846;17;19063;100000
100000;4257;15;18478;96107
100000;4600;17;19770;100000
100000;5010;17;19366;100000
100000;2796;13;18845;98764
100000;3047;14;878;2885
100000;2958;17;19150;100000
100000;2930;12;11335;59545
100000;2930;17;9027;43577
100000;2592;16;18963;100000
100000;3025;17;5620;29871
100000;2493;16;19093;100000
100000;2176;15;17529;93172
100000;2847;17;19612;100000
100000;2420;16;17533;91605
100000;2842;17;18998;100000
100000;2724;16;16801;88693
100000;3114;16;18476;100000
100000;3065;17;19311;100000
100000;2323;17;19093;100000
100000;2330;16;13396;68512
100000;2688;17;29373;100000
100000;2113;16;19199;100000
100000;3034;17;19031;100000
