Tamaño;Tiempo binaria;comparacionesBinaria;Tiempo Secuencial;comparacionesSecuencial
10;1846;3;1167;10
10;371;1;329;4
10;425;2;209;1
10;420;3;377;10
10;331;2;248;2
10;424;3;376;9
10;325;2;182;1
10;513;4;388;10
10;538;4;382;10
10;351;3;341;9
10;226;1;278;5
10;539;4;369;10
10;364;2;271;2
10;395;3;178;1
10;415;3;241;3
10;421;4;345;10
10;422;3;324;10
10;443;4;336;10
10;566;3;343;10
10;450;3;294;6
10;441;3;360;10
10;358;3;324;9
10;405;4;257;4
10;360;4;272;4
10;843;2;364;8
10;292;2;348;7
10;235;1;275;5
10;479;3;377;10
10;358;3;330;9
10;310;2;286;8
100;519;5;1321;77
100;593;6;1563;92
100;705;5;539;21
100;490;6;1443;89
100;470;7;1524;100
100;379;6;1286;79
100;396;6;1483;100
100;358;6;786;44
100;472;6;643;32
100;385;6;335;7
100;485;7;1555;100
100;474;7;1557;100
100;485;7;2148;83
100;435;6;443;19
100;434;6;1536;100
100;358;5;1305;83
100;421;7;1521;100
100;400;6;1508;100
100;408;6;664;35
100;401;7;1519;100
100;424;7;1499;100
100;446;7;1499;100
100;488;7;1509;100
100;482;7;1559;100
100;592;7;2122;100
100;497;7;1653;100
100;2325741;1;2808;50
100;1043;7;1648;100
100;678;7;1681;100
100;536;5;492;19
1000;894;10;7676;518
1000;957;10;14688;1000
1000;920;10;14851;1000
1000;908;10;14415;1000
1000;860;10;14617;1000
1000;687;6;12912;890
1000;634;8;11240;769
1000;720;10;13528;937
1000;782;10;3679;254
1000;667;8;9140;613
1000;723;10;2697;182
1000;711;9;12886;892
1000;684;8;503;25
1000;723;10;14555;1000
1000;664;9;11152;762
1000;563;8;866;50
1000;654;10;14366;1000
1000;793;10;14336;1000
1000;741;10;14306;1000
1000;611;10;14195;1000
1000;677;10;14565;1000
1000;716;10;14507;1000
1000;641;8;8721;581
1000;672;10;10981;756
1000;694;10;14809;1000
1000;653;10;11296;793
1000;640;9;1208;40
1000;705;10;13888;1000
1000;646;10;13759;958
1000;684;10;14748;1000
10000;949;14;140905;10000
10000;824;12;109180;7857
10000;1147;13;131221;10000
10000;6113;13;172838;10000
10000;1299;10;34493;8680
10000;1022;13;39297;10000
10000;1553;14;3752;1405
10000;989;12;11874;1895
10000;6031;10;74805;9735
10000;1282;13;6332;10000
10000;961;13;3209;4238
10000;962;13;1941;10000
10000;1046;13;1849;10000
10000;1667;11;937;4360
10000;1377;14;1894;9916
10000;890;13;1917;10000
10000;803;12;754;3766
10000;671;12;944;4961
10000;1041;13;1838;10000
10000;760;10;1559;8505
10000;928;14;1877;10000
10000;801;12;694;3497
10000;797;14;1833;10000
10000;1332;13;1774;9313
10000;761;13;1074;5723
10000;873;11;390;1742
10000;636;12;1558;8448
10000;734;13;1824;10000
10000;979;14;1848;10000
10000;692;10;1252;6786
100000;3838;17;19365;100000
100000;4749;17;20264;100000
100000;3640;15;13231;68331
100000;3711;17;9665;46913
100000;3875;13;11866;57286
100000;3848;16;19664;100000
100000;3773;16;19481;100000
100000;3494;17;5671;26600
100000;3583;13;3579;16564
100000;4962;17;13565;68965
100000;3641;14;5455;24907
100000;3131;16;2887;15085
100000;3549;15;14735;76991
100000;3884;17;19210;100000
100000;4404;16;17420;89724
100000;4258;16;20992;100000
100000;3308;17;15531;81056
100000;2484;16;19565;100000
100000;4528;17;19035;100000
100000;3183;14;4005;18204
100000;3841;17;18883;100000
100000;2493;17;18881;100000
100000;3257;16;6968;34921
100000;2535;12;13021;67796
100000;4337;17;19680;100000
100000;4475;17;19618;100000
100000;3588;17;18642;100000
100000;4158;17;19539;100000
100000;2622;14;18323;96343
100000;2565;16;8375;42318
